"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"CHD8","OK",1.19462223752726e-27,10.8334705702493,0.0623672728251166,"CHD8",6.15816454628942e-27
"ENTPD6","OK",1.20906843713361e-27,10.8323701979752,0.0622780756096452,"ENTPD6",6.23084594645566e-27
"NINJ1","OK",1.2669676401625e-27,10.8280870770936,0.062314599032901,"NINJ1",6.52735335255738e-27
"LOC138566014","OK",1.31480364421127e-27,10.824692358192,0.0622899650545974,"LOC138566014",6.77186055788953e-27
"ATP6V1B2","OK",1.62138580788987e-27,10.8054741918643,0.0622164193576832,"ATP6V1B2",8.34851087902034e-27
"TIPARP","OK",1.63508587748523e-27,10.8047019802595,0.0621579151791596,"TIPARP",8.41664085316801e-27
"EGLN1","OK",1.66735113651115e-27,10.8029083891351,0.0622033657738188,"EGLN1",8.58026916469226e-27
"C8H10orf143","OK",1.68128625485347e-27,10.8021443693178,0.0620120740749539,"C8H10orf143",8.64950300593094e-27
"LOC138504082","OK",1.69860139600927e-27,10.8012037349274,0.0621313323309493,"LOC138504082",8.73608102068875e-27
"SPR","OK",1.78607261914052e-27,10.7965927112979,0.0621337162250711,"SPR",9.1833261705165e-27
"E2F1","OK",1.79623207029463e-27,10.7960717404009,0.06197821435398,"E2F1",9.23292056727532e-27
"CPT1A","OK",1.87632881905898e-27,10.7920639137764,0.0621375284636456,"CPT1A",9.6418727133228e-27
"C9H2orf76","OK",2.0184802716346e-27,10.7853517212708,0.0619996566529507,"C9H2orf76",1.03693797830971e-26
"CD81","OK",2.04162358066005e-27,10.7843034999473,0.0621126043322759,"CD81",1.0485274576868e-26
"TMEM269","OK",2.08852991426558e-27,10.7822146556501,0.0620696313439348,"TMEM269",1.07231093026721e-26
"CALB1","OK",2.09574621797605e-27,10.7818974326623,0.0613777460764346,"CALB1",1.07570864144615e-26
"AHSA1","OK",2.18932395057888e-27,10.7778791612256,0.0620350964356321,"AHSA1",1.12341951433188e-26
"PEAK1","OK",2.20197571263412e-27,10.7773490037392,0.0619622791343569,"PEAK1",1.12958902529361e-26
"TMEM141","OK",2.54222105603652e-27,10.764121002731,0.0619564703297183,"TMEM141",1.30375891486804e-26
"STARD10","OK",2.63838230430731e-27,10.7607002764997,0.061899822925864,"STARD10",1.35268844531819e-26
"CYP2A13","OK",2.65365912832037e-27,10.7601682439923,0.0616762771599092,"CYP2A13",1.3600736016203e-26
"WNT11","OK",2.65430056810373e-27,10.7601459716239,0.061700575717717,"WNT11",1.3600736016203e-26
"CEP20","OK",2.67082112471103e-27,10.7595741686034,0.0618319326926094,"CEP20",1.36814867762421e-26
"FBXL17","OK",2.67698237109379e-27,10.7593618154061,0.0619297699223516,"FBXL17",1.37091402703207e-26
"RPS6KB1","OK",2.68983560406363e-27,10.7589203722409,0.0619615927833185,"RPS6KB1",1.37710386908899e-26
"FNBP1L","OK",2.74609839574137e-27,10.7570123312554,0.0619394704313046,"FNBP1L",1.40550806526552e-26
"RBM27","OK",2.80877325714359e-27,10.7549319542282,0.0619234652128073,"RBM27",1.437176976961e-26
"SMARCE1","OK",2.9051243588501e-27,10.7518218658731,0.0619168429205608,"SMARCE1",1.48605421942887e-26
"PAWR","OK",2.95111454594559e-27,10.7503732501826,0.0617703898249312,"PAWR",1.50914992574395e-26
"PKN2","OK",2.95632803409148e-27,10.7502104485081,0.0619096537291753,"PKN2",1.51138591102771e-26
"MAP7D3","OK",2.98578415584594e-27,10.74929593621,0.0618993360347818,"MAP7D3",1.52601084415675e-26
"CCDC178","OK",3.08578765466725e-27,10.7462565690963,0.0616460177839872,"CCDC178",1.57667341923146e-26
"PRMT5","OK",3.18350384759932e-27,10.7433796302263,0.0618051591656806,"PRMT5",1.62613883289823e-26
"PLK5","OK",3.28294886720346e-27,10.740540324384,0.0616409103205358,"PLK5",1.67645896969725e-26
"RNGTT","OK",3.4357327657717e-27,10.7363401302428,0.0618221253584643,"RNGTT",1.75398061934425e-26
"ABITRAM","OK",3.65892700466453e-27,10.7305258643612,0.0616701365455878,"ABITRAM",1.86739330513552e-26
"TUFM","OK",3.69376848663735e-27,10.7296501014525,0.0617779222773707,"TUFM",1.88463996890611e-26
"ZFYVE28","OK",3.69659613871874e-27,10.7295793863427,0.0617339963834761,"ZFYVE28",1.8855473350206e-26
"YPEL5","OK",3.98750166262579e-27,10.7225767821999,0.0616760814446814,"YPEL5",2.03335428142411e-26
"ZNF398","OK",4.04108291615896e-27,10.7213424353383,0.0616884378759542,"ZNF398",2.06009248236529e-26
"KMT5B","OK",4.14623771704815e-27,10.7189664706658,0.061687647644101,"KMT5B",2.11309959657843e-26
"STOML2","OK",4.24178386273741e-27,10.7168588593564,0.0616889099241057,"STOML2",2.16118106077094e-26
"RBM17","OK",4.36190252142819e-27,10.7142750188781,0.0616802264543605,"RBM17",2.2217513693329e-26
"SPAG9","OK",4.89274974057829e-27,10.7036418811179,0.0616409497068361,"SPAG9",2.49143419773851e-26
"ASAP3","OK",4.91328447684222e-27,10.7032539173479,0.0616269238565486,"ASAP3",2.50118192772959e-26
"IPO9","OK",4.91731135023508e-27,10.7031780260076,0.0615329472380379,"IPO9",2.5025229386498e-26
"TRERF1","OK",5.15489341569066e-27,10.6988062040212,0.0615584114377515,"TRERF1",2.62269067610309e-26
"PPP1CA","OK",5.16543871070192e-27,10.698616817518,0.0616048961469385,"PPP1CA",2.62731201900123e-26
"FAM3D","OK",5.19279366937851e-27,10.6981273219261,0.0609634150542582,"FAM3D",2.64047827500656e-26
"MPEG1","OK",5.47647016258813e-27,10.6931967555509,0.0615226240931119,"MPEG1",2.78393688321665e-26
"CRTC2","OK",5.66762425847964e-27,10.6900151309688,0.0615386351534084,"CRTC2",2.88029434176695e-26
"UBE2A","OK",5.85474180357408e-27,10.6870021093031,0.0615355062148999,"UBE2A",2.97454651428403e-26
"ELP1","OK",5.87509638883697e-27,10.686680129579,0.0614535214834056,"ELP1",2.98404415227248e-26
"ANXA7","OK",5.8799782626396e-27,10.6866030699337,0.0615447561945118,"ANXA7",2.98567983553641e-26
"PRDM10","OK",5.89373905890504e-27,10.6863861987479,0.0614415242035838,"PRDM10",2.99182177651197e-26
"ANP32A","OK",6.11791792453614e-27,10.6829221226784,0.0615069536596465,"ANP32A",3.10474400180498e-26
"GSK3B","OK",6.38220557662599e-27,10.6789963945216,0.0614876666397209,"GSK3B",3.23795127645311e-26
"NLGN4X","OK",6.44377152969896e-27,10.6781050559347,0.0608059321792304,"NLGN4X",3.26826346002513e-26
"AGAP3","OK",6.59025625410001e-27,10.6760177756888,0.0614635390731562,"AGAP3",3.34161695502757e-26
"CENPI","OK",6.86766334472193e-27,10.672188044774,0.061086056854765,"CENPI",3.48129507206356e-26
"SMARCB1","OK",7.01162985118474e-27,10.6702605555038,0.0614020153669987,"SMARCB1",3.5532709651943e-26
"HOOK3","OK",7.75356557287515e-27,10.6609107848664,0.0613978323100546,"HOOK3",3.92815261755192e-26
"NEXMIF","OK",7.82140257704768e-27,10.6601006569441,0.0611272120445778,"NEXMIF",3.96140372913041e-26
"ESD","OK",7.83447880382237e-27,10.6599452981938,0.0613795450737214,"ESD",3.96690854056602e-26
"ACO1","OK",7.83971515321042e-27,10.6598831571608,0.0613835251394564,"ACO1",3.96844172685046e-26
"VILL","OK",8.2748133189399e-27,10.654858433787,0.0610433341717521,"VILL",4.18750761310476e-26
"SCD","OK",8.3457697712983e-27,10.6540639193435,0.0612366245561512,"SCD",4.22222642990514e-26
"TNIP2","OK",8.47454624220033e-27,10.6526389390857,0.0612842495536533,"TNIP2",4.28616932092147e-26
"IGSF9","OK",9.50232998452891e-27,10.641980304355,0.0611441938999929,"IGSF9",4.80463899330288e-26
"ATP6V1A","OK",1.00742143840537e-26,10.6365345379544,0.0612532414583666,"ATP6V1A",5.09236659582124e-26
"SMARCA5","OK",1.01038217811312e-26,10.636261011322,0.0611925778634761,"SMARCA5",5.10589644001483e-26
"HERC2","OK",1.02897628635841e-26,10.634561158184,0.0612196431158287,"HERC2",5.19839861283683e-26
"SRCAP","OK",1.03426946808727e-26,10.6340828276552,0.0612037585712274,"SRCAP",5.22367125956389e-26
"ADH1A","OK",1.04238245464117e-26,10.6333543692061,0.0611532955435655,"ADH1A",5.2631673812593e-26
"RELT","OK",1.05885998288148e-26,10.6318920091603,0.0610522630589553,"RELT",5.34486345291578e-26
"PRC1","OK",1.14397632305747e-26,10.6246800927765,0.0609609583041137,"PRC1",5.772888100349e-26
"FAM83B","OK",1.19654094957792e-26,10.6204874527997,0.0603930171517215,"FAM83B",6.03645167431648e-26
"DMPK","OK",1.25413312685806e-26,10.6160984769166,0.0610409638142465,"DMPK",6.32522376919431e-26
"FARSA","OK",1.27606036890115e-26,10.6144797737373,0.0611034845719811,"FARSA",6.43400808898813e-26
"MTHFD1L","OK",1.33401441074315e-26,10.6103307661301,0.061045979092621,"MTHFD1L",6.72433070436308e-26
"TASOR2","OK",1.35532265572946e-26,10.6088500669231,0.0610231035606645,"TASOR2",6.82982280523229e-26
"ZNF207","OK",1.40048385826403e-26,10.6057866761555,0.0610535355453101,"ZNF207",7.05542330614091e-26
"CISD2","OK",1.49676750686958e-26,10.5995699771208,0.0610110035724415,"CISD2",7.53837222490088e-26
"AXIN2","OK",1.50865721402216e-26,10.5988299610327,0.060892023653318,"AXIN2",7.59612500307599e-26
"FYN","OK",1.52572787505838e-26,10.5977775293484,0.0609882976914845,"FYN",7.67992434588208e-26
"SLIT3","OK",1.56143042039074e-26,10.5956136446697,0.060988960594822,"SLIT3",7.85743619558151e-26
"REX1BD","OK",1.63222835430914e-26,10.5914640575837,0.0609009475102086,"REX1BD",8.21140636252387e-26
"WFDC3","OK",1.66396357673898e-26,10.5896616040941,0.0607776242343134,"WFDC3",8.36871689728502e-26
"ST8SIA4","OK",1.6710127942383e-26,10.5892658597719,0.060830987497191,"ST8SIA4",8.40181866604987e-26
"IGF2BP2","OK",1.67581950677109e-26,10.5889969579223,0.060973097851763,"IGF2BP2",8.42362980046896e-26
"LRCH3","OK",1.69198724448468e-26,10.5880980643808,0.0609637563391018,"LRCH3",8.50251979401276e-26
"TLCD2","OK",1.7969518723245e-26,10.5824614899445,0.0604905806088409,"TLCD2",9.02746020287147e-26
"GNPDA1","OK",1.80674619510823e-26,10.5819522932101,0.0608262737864401,"GNPDA1",9.07412776022776e-26
"LOC138566346","OK",1.93701614439308e-26,10.5754283263752,0.0608706068662375,"LOC138566346",9.72567200747238e-26
"CTSZ","OK",1.96464539551343e-26,10.5741006702075,0.0608132945326565,"CTSZ",9.86164183166937e-26
"OLA1","OK",2.01763777892253e-26,10.5716052542165,0.0608802447971362,"OLA1",1.01248117529287e-25
"EVI5","OK",2.03074485725289e-26,10.5709980643763,0.0608632964642464,"EVI5",1.01877401130191e-25
"CCL25","OK",2.03159036149128e-26,10.5709590295976,0.0606622734403634,"CCL25",1.01891372581631e-25
